标题,观看量,弹幕量,上传时间,up主
[小甲鱼]零基础入门学习Python,840.6万,18.6万,2016-03-09,IT搬運工
Python教程_600集Python从入门到精通教程（懂中文就能学会）,506.4万,11.0万,2017-09-05,黑马程序员-
十分钟！彻底弄懂Python深拷贝与浅拷贝机制,678,2,2020-04-06,爱可可-爱生活
【千锋教育】Python 900集（学完可就业/2019版）,31.9万,2.0万,2019-09-27,千锋教育
python教程2019版 6小时完全入门 并且达到能开发网站的能力 目前最好的python教程 （含中文翻译）,25.0万,1.1万,2019-11-16,分享好东东
21天python从入门到高手（花钱购买的，分享给大家免费学习）,6.2万,94,2020-02-18,DMSUN
【Python教程】《零基础入门学习Python》（小甲鱼）,95.1万,2.9万,2018-07-26,鱼C-小甲鱼
这回真秃了，我斥巨资报了编程课，零基础学Python靠谱吗？,9.9万,1339,2020-03-19,杨舒惠
Python教程2019版 700集完全入门 达到Python工程师水平,6.8万,561,2020-03-03,王小小额
当你学会python是什么感觉,1.2万,25,2020-03-23,PLAY-PROGRAM
Python爬虫技术5天速成（2020全新合集）,4.0万,647,2020-03-21,IT私塾
【Python教程】《零基础入门学习Python》最新版（小甲鱼）,65.4万,1.2万,2019-05-11,鱼C-小甲鱼
2020 黑马Python全栈就业班全套 更新中...,1313,2,2020-04-01,蓝翔毕业的程序员
编程入门｜我如何30天自学python入门｜自我赋能,5120,13,2020-03-10,花梨解解
Python爬虫实战教程：批量爬取某网站图片,8.3万,1428,2019-11-13,python学习者
Python编程 从入门到实践 演示视频-已获出版社授权,39.1万,1491,2018-11-10,Master_lisa
Python开发工程师630集全套视频（完整版）,12.4万,1105,2020-02-18,学IT的小朋友
软件工程—Python—清华大学,9.3万,127,2019-12-27,smile淦
【2020版Python3.8教程】python入门零基础动画编程学习最新版（大熊课堂）,5.6万,1335,2019-07-10,老冯feng
96天从小白炼成PYTHON开发大神-(2020同步更新),15.0万,4119,2020-01-22,过气网红_金角大王Alex
喵大：python3.8极速入门到实战 | 讲重点 | 不废话,8.0万,1402,2020-01-12,我是喵大
2019全新Python入门/Python自学/PYTHON3/Python从入门到精通,44.5万,1.8万,2019-07-17,传智博学谷
千锋python全套视频教程，400全集，史上最经典,86.3万,2.0万,2018-02-23,java世界第一
黑马程序员 - python就业班后续教程 ( 实时更新 ),4.2万,1060,2019-10-21,程序员小草帽
Python全套视频教程（700集）,14.5万,1056,2020-02-22,it民工233
Python编程：正则表达式,3318,41,2019-09-06,白月黑羽Python
